arm,kind,delta_target,ci_lo,ci_hi,p_boot,delta_source,ci_lo_s,ci_hi_s,p_boot_s,obs_macro_f1_target,null_band_target
Q$_{amp}$ + R$_{amp}$ leads (24-d),restriction,-0.0552,-0.0747,-0.0368,0.0000,0.0070,-0.0135,0.0267,0.4740,0.2850,"(-0.09999561448606384, -0.05702439819443933)"
Q$_{amp}$ leads (12-d),restriction,-0.0271,-0.0472,-0.0052,0.0100,-0.0808,-0.1010,-0.0618,0.0000,0.3131,
R$_{amp}$ leads (12-d),restriction,-0.1128,-0.1302,-0.0938,0.0000,-0.0529,-0.0714,-0.0353,0.0000,0.2274,"(-0.11476500242588186, -0.07401117640452393)"
ST$_{J60}$ leads (12-d),restriction,-0.1407,-0.1584,-0.1213,0.0000,-0.0710,-0.0884,-0.0529,0.0000,0.1995,"(-0.11476500242588186, -0.07401117640452393)"
"inferior leads II, III, aVF (12-d)",restriction,0.0025,-0.0184,0.0237,0.7940,-0.0033,-0.0214,0.0152,0.7560,0.3427,"(-0.11476500242588186, -0.07401117640452393)"
"reweight, axis-pair",reweight,-0.0732,-0.0859,-0.0609,0.0000,-0.0367,-0.0499,-0.0231,0.0000,0.2674,
"reweight, six-global",reweight,-0.0690,-0.0855,-0.0542,0.0000,-0.0047,-0.0231,0.0141,0.6140,0.2750,
